YMD,Real,Point.Forecast,Lo.95,Hi.95
"Sunday, May 15, 2022",,4088371.02,2367510.151,5809231.888
"Sunday, May 22, 2022",,4508582.167,2787721.298,6229443.036
"Sunday, May 29, 2022",,3364735.477,1643874.609,5085596.346
"Sunday, June 5, 2022",,3845992.49,2125131.621,5566853.359
"Sunday, June 12, 2022",,2925328.29,1204467.421,4646189.159
"Sunday, June 19, 2022",,3746273.769,2025412.9,5467134.638
"Sunday, June 26, 2022",,4357619.271,2636758.402,6078480.14
"Sunday, July 3, 2022",,3512991.871,1792131.002,5233852.74
"Sunday, July 10, 2022",,3510767.499,1789906.63,5231628.367
"Sunday, July 17, 2022",,3028637.218,1307776.349,4749498.086
"Sunday, July 24, 2022",,3616159.941,1895299.072,5337020.81
"Sunday, July 31, 2022",,4165668.517,2444807.648,5886529.386
"Sunday, August 7, 2022",,3763782.215,2042921.346,5484643.084
"Sunday, August 14, 2022",,3773381.036,2052520.167,5494241.905
"Sunday, August 21, 2022",,4390149.74,2669288.871,6111010.608
"Sunday, August 28, 2022",,3079079.955,1358219.087,4799940.824
"Sunday, September 4, 2022",,3174437.446,1453576.577,4895298.315
"Sunday, September 11, 2022",,3828702.586,2107841.717,5549563.455
"Sunday, September 18, 2022",,3363248.369,1642387.5,5084109.238
"Sunday, September 25, 2022",,3974454.3,2253593.431,5695315.169
"Sunday, October 2, 2022",,3118934.855,1398073.987,4839795.724
"Sunday, October 9, 2022",,3115066.27,1394205.401,4835927.139
"Sunday, October 16, 2022",,3796288.934,2075428.065,5517149.803
"Sunday, October 23, 2022",,4111980.384,2391119.515,5832841.252
"Sunday, January 6, 2019",4374727,,,
"Sunday, January 13, 2019",3207331,,,
"Sunday, January 20, 2019",3339479,,,
"Sunday, January 27, 2019",3525728,,,
"Sunday, February 3, 2019",4265137,,,
"Sunday, February 10, 2019",4977378,,,
"Sunday, February 17, 2019",3122006,,,
"Sunday, February 24, 2019",3338361,,,
"Sunday, March 3, 2019",3512670,,,
"Sunday, March 10, 2019",3893406,,,
"Sunday, March 17, 2019",4548177,,,
"Sunday, March 24, 2019",5216008,,,
"Sunday, March 31, 2019",3090287,,,
"Sunday, April 7, 2019",3344723,,,
"Sunday, April 14, 2019",3677999,,,
"Sunday, April 21, 2019",3973583,,,
"Sunday, April 28, 2019",5279475,,,
"Sunday, May 5, 2019",3312839,,,
"Sunday, May 12, 2019",3640552,,,
"Sunday, May 19, 2019",4331712,,,
"Sunday, May 26, 2019",5076637,,,
"Sunday, June 2, 2019",3971782,,,
"Sunday, June 9, 2019",5440865,,,
"Sunday, June 16, 2019",3275423,,,
"Sunday, June 23, 2019",4117137,,,
"Sunday, June 30, 2019",3551314,,,
"Sunday, July 7, 2019",4369707,,,
"Sunday, July 14, 2019",3425829,,,
"Sunday, July 21, 2019",4080492,,,
"Sunday, July 28, 2019",4672027,,,
"Sunday, August 4, 2019",3291076,,,
