YMD,Product1,Time
20190106,40087478,1
20190113,43198724.25,2
20190120,40884593.4,3
20190127,42915201.6,4
20190203,40878248.5,5
20190210,45095990.5,6
20190217,40817901,7
20190224,44470101.2,8
20190303,41516266.7,9
20190310,45266247.8,10
20190317,41438561.2,11
20190324,43925497,12
20190331,42205949,13
20190407,45738068,14
20190414,44280235.5,15
20190421,45814207.3,16
20190428,43930480.75,17
20190505,47180493.9,18
20190512,46125845.6,19
20190519,47193013.95,20
20190526,46714521,21
20190602,47091164.5,22
20190609,49272876.3,23
20190616,51634436.55,24
20190623,48350524.7,25
20190630,52769548.1,26
20190707,47535250.3,27
20190714,46120367.9,28
20190721,45250462.6,29
20190728,47118017.36,30
20190804,46092987.65,31
20190811,48478282.1,32
20190818,45760824.45,33
20190825,46547175.9,34
20190901,46427195.7,35
20190908,47273826.45,36
20190915,45088563.5,37
20190922,46534934,38
20190929,44206541.1,39
20191006,46381140.16,40
20191013,44752742.5,41
20191020,46097868.35,42
20191027,42028367.25,43
20191103,42880532.15,44
20191110,43132257.75,45
20191117,42833543,46
20191124,41861002.6,47
20191201,40918209.05,48
20191208,42593549.6,49
20191215,42504668.7,50
20191222,41893903.55,51
20191229,39100872,52
20200105,39290829.35,53
20200112,41579139.8,54
20200119,38657868.75,55
20200126,40110406.45,56
20200202,39141643.84,57
20200209,42452000.3,58
20200216,40102330,59
20200223,40478897.25,60
20200301,39118917.5,61
20200308,43370512.1,62
20200315,41354043,63
20200322,49907284.3,64
20200329,41756097,65
20200405,39421183.25,66
20200412,38557215,67
20200419,41276300,68
20200426,40614197,69
20200503,44269845,70
20200510,45900198.05,71
20200517,44453790.6,72
20200524,46099961.3,73
20200607,47398211.94,74
20200614,48825964.1,75
20200621,48371270.3,76
20200628,47579131.46,77
20200631,45464239.3,78
20200705,48589206,79
20200712,47566029.76,80
20200719,45936019.35,81
20200726,47348322.75,82
20200802,46570997.1,83
20200809,48732352.1,84
20200816,47017373.95,85
20200823,47639439.5,86
20200906,48441506.35,87
20200913,45538147.7,88
20200920,45933994.9,89
20200927,45227517,90
20200930,45788948.45,91
20201004,45406189.4,92
20201011,43776565.7,93
20201018,44040417.3,94
20201025,42138096.4,95
20201101,43764521.8,96
20201108,42392977.9,97
20201115,43340935.3,98
20201122,42583513,99
20201206,40905114.5,100
20201213,42233664.5,101
20201220,40639094,102
20201227,39933372.4,103
20201229,39705571.5,104
20210103,38805749,105
20210110,40634790,106
20210117,39137780,107
20210124,39785576,108
20210207,39547877.3,109
20210214,39218705,110
20210221,38312811.8,111
20210228,38125319,112
20210231,37656848.5,113
20210304,42063064.9,114
20210307,40124189,115
20210314,39775557.4,116
20210321,40039598.5,117
20210328,41098866.3,118
20210402,41286109.8,119
20210411,43100347.2,120
20210418,42334707.5,121
20210425,42052641,122
20210509,43546753.5,123
20210516,41712464,124
20210523,43161126.3,125
20210530,45436439,126
20210604,46892599,127
20210606,43701086,128
20210613,44634766,129
20210620,43930295.5,130
20210627,44820397,131
20210701,43629675,132
20210711,43751449.5,133
20210718,42985697.5,134
20210725,43582308.5,135
20210808,44715778,136
20210815,43877792.5,137
20210822,44161009,138
20210829,42794412.5,139
20210903,42154771.5,140
20210905,44307121.1,141
20210912,42593039.6,142
20210919,42326751.5,143
20210926,41961908,144
20211010,42525649.2,145
20211017,41357666,146
20211024,40238373.2,147
20211031,39870407.1,148
20211107,40698083.5,149
20211114,39824827.5,150
20211121,39897223.5,151
20211128,36326696,152
20211202,35728829,153
20211205,39776213.1,154
20211212,38704061,155
20211219,38855562,156
20211226,37226002,157
20220109,36155468.5,158
20220116,34815467,159
20220123,34406807.5,160
20220130,34924604.5,161
20220206,35801471.5,162
20220213,36382186,163
20220220,37123804,164
20220227,36109335.5,165
20220303,37930595.5,166
20220306,38352576.6,167
20220313,36998516.5,168
20220320,36486642.5,169
20220327,37801015.5,170
20220401,38060121.5,171
20220410,38301684.5,172
20220417,37199508.5,173
20220424,37747067.5,174
20220508,38826079.5,175
