YMD,Product1,Product2,Time
20190106,3792128,6565556.5,1
20190113,2568676,6467413,2
20190120,2644847,7297138.5,3
20190127,2782482,6181217.5,4
20190203,3741709,6681464,5
20190210,3687972,7101862.5,6
20190217,2421020,7084604,7
20190224,2730717,6480372,8
20190303,2904549,7033289,9
20190310,3180979,7647591.5,10
20190317,4005906,7400145,11
20190324,3965916,6632179.5,12
20190331,2425668,6900369.5,13
20190407,2755858,7263040,14
20190414,2913541,7640027.5,15
20190421,3498200,7668461,16
20190428,4079367,6845810.5,17
20190505,2647569,7403346.5,18
20190512,2935113,7722083,19
20190519,3571967,7657175.5,20
20190526,4060400,7140731,21
20190602,3162240,7486496,22
20190609,4773710,8065524.5,23
20190616,2710606,7555792.5,24
20190623,3415475,7265159,25
20190630,2760953,7060745,26
20190707,3819778,8116868,27
20190714,2555839,7020428.5,28
20190721,3399245,7028667.5,29
20190728,3589220,7175497,30
20190804,2561032,7551125.5,31
20190811,3073468,7793604.9,32
20190818,3852066,7552499.5,33
20190825,3842696,6749138,34
20190901,2587591,7318778,35
20190908,2887511,7702158,36
20190915,3978492,7515788.5,37
20190922,3976207,6559169.5,38
20190929,2224183,6935448.5,39
20191006,2672494,7367044,40
20191013,3002833,7570950.5,41
20191020,3502937,7428606,42
20191027,3805619,6433190.5,43
20191103,2350624,6758727,44
20191110,2556349,7058888.5,45
20191117,3286792,6878384.5,46
20191124,3759500,6131599.5,47
20191201,2371004,6685170,48
20191208,2552638,7156740.5,49
20191215,3046013,6896814.5,50
20191222,4580066,5967162.5,51
20191229,2418493,6059472.5,52
20200105,3047532,6361751.5,53
20200112,2116845,6442214,54
20200119,2808484,6939222.5,55
20200126,3031486,5838445.5,56
20200202,2077866,6465567,57
20200209,2498398,6661872.5,58
20200216,3458275,6625444,59
20200223,3411778,5814170,60
20200301,2231294,6453944,61
20200308,2532585,7207186.5,62
20200315,3687975,7073357.5,63
20200322,4173303,7115878,64
20200329,2500140,7384352,65
20200405,2232179,6540162,66
20200412,2727811,7534836,67
20200419,2903009,7102629,68
20200426,4389322,6556337,69
20200503,2564543,7456899,70
20200510,2491756,7814255,71
20200517,3240459,7553318.5,72
20200524,3977891,7468584.5,73
20200607,3347150,8161299,74
20200614,4302433,7966643.5,75
20200621,2488991,7193440,76
20200628,2382422,7513756,77
20200631,2433224,7585600.5,78
20200705,3398124,8298338.5,79
20200712,3748843,8228679,80
20200719,2348940,7082965,81
20200726,2550511,7331481.5,82
20200802,2764907,7617996,83
20200809,2998247,7928244,84
20200816,3781562,7882001,85
20200823,3728626,6795708.5,86
20200906,2485585,7778207,87
20200913,3601173,7668290,88
20200920,3844523,6591887,89
20200927,2094949,6933558,90
20200930,2360462,7352936,91
20201004,2348152,7251822.6,92
20201011,2538540,7437223.5,93
20201018,3107696,7296502,94
20201025,3510449,6457939,95
20201101,2307938,6602555.1,96
20201108,2333635,7131659.5,97
20201115,3102549,7433771.5,98
20201122,3504132,6512689.5,99
20201206,2963732,6440229.5,100
20201213,4173209,6477126.5,101
20201220,3463373,6361403,102
20201227,3203789,6079373,103
20201229,2235437,6426409,104
20210103,1764624,6255084.5,105
20210110,2148906,6858060.5,106
20210117,2916789,6980672.5,107
20210124,3210853,5894447,108
20210207,2750490,6859425.5,109
20210214,3420594,6621439.5,110
20210221,2737402,4568037,111
20210228,2453410,6488611,112
20210231,2324379,6211577.5,113
20210304,2105854,6943314,114
20210307,2432931,7367868.5,115
20210314,3280167,6985952,116
20210321,4014318,6280907,117
20210328,2002608,6711884.5,118
20210402,2400387,6569899.5,119
20210411,2358860,7955574.5,120
20210418,3448309,7284404,121
20210425,3451829,6981881.5,122
20210509,2807833,7434433,123
20210516,3144455,6797768,124
20210523,3463190,6235330,125
20210530,2337679,7076627,126
20210604,2244859,7042468.5,127
20210606,2277393,7755080,128
20210613,3444743,7110131.5,129
20210620,4113601,6048777.5,130
20210627,2234641,6588506,131
20210701,2226318,6644131.5,132
20210711,2324269,7084953.4,133
20210718,3210433,6808807.5,134
20210725,3494707,6370102,135
20210808,2644541,7303854,136
20210815,3056166,6654862.5,137
20210822,3496738,6123059.5,138
20210829,2157448,6426882.3,139
20210903,1998919,6311306.3,140
20210905,2254680,6994526.3,141
20210912,2643494,6304061.1,142
20210919,4362102,6172542.9,143
20210926,2167342,6237854,144
20211010,2406585,6728216.9,145
20211017,2828677,6519097.1,146
20211024,3108657,5931037,147
20211031,2430244,6487923,148
20211107,2851889,6621252.5,149
20211114,2600674,5918193.3,150
20211121,3353363,5805092,151
20211128,2003482,6058136.7,152
20211202,2152706,5757598.5,153
20211205,2115473,6710645,154
20211212,2366900,5670886.3,155
20211219,3732824,5344650.7,156
20211226,1981069,5525284,157
20220109,3417846,5644853,158
20220116,2441045,5409802.5,159
20220123,1838833,5135088.1,160
20220130,1951982,5148635.5,161
20220206,2378744,5562459,162
20220213,2368100,5516893,163
20220220,3998929,5472750.6,164
20220227,2139420,5694808,165
20220303,2130553,6274655.5,166
20220306,2652775,6225994.1,167
20220313,2344827,5728467.3,168
20220320,3341495,5414075.2,169
20220327,2066801,5681130,170
20220401,2296033,6329095.5,171
20220410,2547340,6096848,172
20220417,2522695,5679140.5,173
20220424,3286692,5529787,174
20220508,2682195,6212082,175
