YMD,Real,Point.Forecast,Lo.95,Hi.95
"Sunday, May 15, 2022",,12348955.39,10250789.41,14447121.37
"Sunday, May 22, 2022",,10810224.76,8632966.024,12987483.49
"Sunday, May 29, 2022",,12340704.76,10151418.83,14529990.68
"Sunday, June 5, 2022",,12589901.76,10388654.35,14791149.16
"Sunday, June 12, 2022",,13730814.76,11517670.51,15943959
"Sunday, June 19, 2022",,12686233.76,10461256.29,14911211.22
"Sunday, June 26, 2022",,10702436.76,8465688.668,12939184.84
"Sunday, July 3, 2022",,11275658.76,9027201.665,13524115.85
"Sunday, July 10, 2022",,11835708.76,9575603.321,14095814.19
"Sunday, July 17, 2022",,12541811.76,10270117.71,14813505.81
"Sunday, July 24, 2022",,11648236.26,9365012.407,13931460.1
"Sunday, July 31, 2022",,11392416.76,9097721.04,13687112.47
"Sunday, August 7, 2022",,12522169.76,10216059.24,14828280.27
"Sunday, August 14, 2022",,11408324.76,9090855.663,13725793.85
"Sunday, August 21, 2022",,10869466.76,8540694.487,13198239.02
"Sunday, August 28, 2022",,11672616.46,9332595.609,14012637.3
"Sunday, September 4, 2022",,11421198.76,9069983.145,13772414.37
"Sunday, September 11, 2022",,12579653.06,10217295.73,14942010.38
"Sunday, September 18, 2022",,11159793.76,8786347.018,13533240.49
"Sunday, September 25, 2022",,10620277.76,8235793.178,13004762.33
"Sunday, October 2, 2022",,10820226.76,8424755.197,13215698.31
"Sunday, October 9, 2022",,12203951.76,9797543.38,14610360.13
"Sunday, October 16, 2022",,11512604.76,9095309.044,13929900.47
"Sunday, October 23, 2022",,10571169.76,8143035.525,12999303.99
"Sunday, January 6, 2019",12738123,,,
"Sunday, January 13, 2019",12916400,,,
"Sunday, January 20, 2019",14639175,,,
"Sunday, January 27, 2019",12171131,,,
"Sunday, February 3, 2019",13032856,,,
"Sunday, February 10, 2019",14329016,,,
"Sunday, February 17, 2019",14126851,,,
"Sunday, February 24, 2019",12766686,,,
"Sunday, March 3, 2019",13824043,,,
"Sunday, March 10, 2019",15181926,,,
