"Point.Forecast","Lo.95","Hi.95"
1267575.98843151,756110.851857153,1779041.12500586
1484386.16235404,966925.314381624,2001847.01032646
1083442.68724198,533955.230037368,1632930.1444466
1223417.33329336,665897.579705699,1780937.08688103
860489.117658406,301921.895842036,1419056.33947478
1063727.3223863,505153.998350039,1622300.64642256
1237824.82796792,678794.449476515,1796855.20645933
1130187.93182359,570290.293311597,1690085.57033559
1076013.21579548,515174.476943861,1636851.9546471
882727.785546217,321104.275881629,1444351.2952108
1114539.37756384,552363.431632689,1676715.32349499
1221924.81537771,659407.723229629,1784441.90752578
1041522.91865071,478818.287162466,1604227.55013895
1228384.5376139,665588.150848854,1791180.92437894
1339896.66490239,777060.927149924,1902732.40265486
935083.35067322,372233.387239757,1497933.31410668
1003784.39405321,440930.491060906,1566638.29704551
1192260.05480735,629405.534993459,1755114.57462124
960645.020207989,397790.498834482,1523499.5415815
1283987.08418922,721132.421964324,1846841.74641411
840331.560160465,277476.580921484,1403186.53939945
936090.593561656,373235.247967463,1498945.93915585
1137497.01571164,574641.353374409,1700352.67804888
1218205.85628045,655349.965176764,1781061.74738413
