YMD,Product1,Time
20190106,44597501.5,1
20190113,48565940.46,2
20190120,45632300.1,3
20190127,46030940.92,4
20190203,44893729.42,5
20190210,51044268.98,6
20190217,45234191.6,7
20190224,48356307.46,8
20190303,45039309,9
20190310,50653821,10
20190317,46872108.29,11
20190324,49266009.66,12
20190331,46265132.46,13
20190407,50733548,14
20190414,49202541.54,15
20190421,51293031,16
20190428,49301217,17
20190505,52809678,18
20190512,51913772.04,19
20190519,53915752.38,20
20190526,53422943.96,21
20190602,52717410,22
20190609,53887869.92,23
20190616,54287286.58,24
20190623,51713555.42,25
20190630,55114157,26
20190707,55205146.2,27
20190714,52573484.04,28
20190721,51701982.5,29
20190728,54426856.96,30
20190804,51550146.25,31
20190811,55390284.75,32
20190818,51641337.46,33
20190825,53487628.46,34
20190901,52003190.5,35
20190908,53283029.46,36
20190915,51333477.46,37
20190922,53115037.88,38
20190929,49530369.5,39
20191006,51955504.86,40
20191013,50646565.42,41
20191020,51713709.92,42
20191027,47381704.46,43
20191103,49126513.46,44
20191110,48648038.88,45
20191117,49569867.96,46
20191124,46414104.46,47
20191201,46761653.46,48
20191208,47571117.88,49
20191215,48254048.04,50
20191222,47709906.42,51
20191229,45188933.46,52
20200105,44076613.96,53
20200112,48047478.5,54
20200119,44719325.96,55
20200126,45550300.5,56
20200202,43099834.46,57
20200209,48258526.42,58
20200216,45405305.68,59
20200223,46473004.4,60
20200301,44025323.04,61
20200308,49348477.94,62
20200315,46516642.96,63
20200322,57020210.9,64
20200329,50259789.86,65
20200405,44877584.5,66
20200412,45359396.46,67
20200419,49276030.96,68
20200426,46910735.08,69
20200503,50106794.5,70
20200510,51849176.9,71
20200517,52727105.96,72
20200524,52897272.5,73
20200607,54565260,74
20200614,57269818,75
20200621,54462992.96,76
20200628,55724412.18,77
20200631,51831624.25,78
20200705,56657364.46,79
20200712,55222596.5,80
20200719,51357599,81
20200726,53228025.88,82
20200802,52639697,83
20200809,56023884.96,84
20200816,53432188.5,85
20200823,54235301.96,86
20200906,54969882,87
20200913,51492340,88
20200920,52441086.5,89
20200927,49593088,90
20200930,51397030,91
20201004,51952103.46,92
20201011,50115445.46,93
20201018,51482501,94
20201025,47557005.5,95
20201101,49705056.5,96
20201108,48931840.2,97
20201115,51821256.5,98
20201122,49507578,99
20201206,46117551.7,100
20201213,48474999,101
20201220,47880588.96,102
20201227,45845046.5,103
20201229,46560120.96,104
20210103,42639370.5,105
20210110,47038291.5,106
20210117,45531335.9,107
20210124,45111362,108
20210207,45321832.46,109
20210214,45069593.96,110
20210221,43971294,111
20210228,43511549.46,112
20210231,43802159,113
20210304,47768650,114
20210307,46779424.25,115
20210314,47573322.5,116
20210321,47033842.25,117
20210328,46336713,118
20210402,46847466,119
20210411,49955837.9,120
20210418,50228161,121
20210425,49505072,122
20210509,50454043.5,123
20210516,48505555,124
20210523,49007101.6,125
20210530,50729792.5,126
20210604,51810012.1,127
20210606,49596912.56,128
20210613,50978866,129
20210620,50000873.5,130
20210627,49285484.5,131
20210701,49443344.5,132
20210711,50647886,133
20210718,49642602,134
20210725,50190189.36,135
20210808,50914661.9,136
20210815,50012209.38,137
20210822,50560362.96,138
20210829,48701631.5,139
20210903,46828399.46,140
20210905,50174151.3,141
20210912,48008190.5,142
20210919,48591833,143
20210926,47154744,144
20211010,48192352.5,145
20211017,46721702.96,146
20211024,47465891,147
20211031,45290065.3,148
20211107,46541488,149
20211114,44509436.82,150
20211121,45867433.42,151
20211128,41448559.26,152
20211202,40734707.7,153
20211205,43734617.7,154
20211212,43374029.5,155
20211219,44772053.46,156
20211226,43282145,157
20220109,41129043.4,158
20220116,41230501.9,159
20220123,38892320,160
20220130,39808047.5,161
20220206,39953249,162
20220213,41230773.5,163
20220220,42682767.5,164
20220227,41877402,165
20220303,42590943.3,166
20220306,43768313.4,167
20220313,42488160.2,168
20220320,42507707,169
20220327,43279365.46,170
20220401,43861025.92,171
20220410,43246341.96,172
20220417,41876017.84,173
20220424,43099311,174
20220508,43983489.5,175
