YMD,Product1,Time
20190106,49876275.5,1
20190113,53622682.9,2
20190120,50414639.8,3
20190127,52815638.9,4
20190203,49815094.46,5
20190210,57351965.2,6
20190217,50571870,7
20190224,54164551.86,8
20190303,51087574.5,9
20190310,57639866,10
20190317,53957728.5,11
20190324,56021712.11,12
20190331,52024152,13
20190407,56563809.04,14
20190414,54247380,15
20190421,57263858.5,16
20190428,54101859,17
20190505,56755861,18
20190512,55395836.75,19
20190519,58865349.5,20
20190526,57791980.5,21
20190602,55976791,22
20190609,57703548,23
20190616,56003546.5,24
20190623,54270275.5,25
20190630,57761624.25,26
20190707,57144007,27
20190714,55104026.5,28
20190721,53691659.75,29
20190728,57612705,30
20190804,53093077.5,31
20190811,57780674,32
20190818,53886768.5,33
20190825,56047124.5,34
20190901,54931008.3,35
20190908,55373625.04,36
20190915,53811900,37
20190922,56637382.9,38
20190929,51666276.9,39
20191006,56911009.7,40
20191013,55256096.2,41
20191020,55652870.8,42
20191027,52035463.2,43
20191103,53635273.9,44
20191110,52432837.61,45
20191117,54499494.3,46
20191124,50951701.2,47
20191201,51121406,48
20191208,52473459.8,49
20191215,54071224.15,50
20191222,52823597.5,51
20191229,48928672.45,52
20200105,49271962.75,53
20200112,52769594.8,54
20200119,49612214.64,55
20200126,51781580.1,56
20200202,48443169.1,57
20200209,53525263.76,58
20200216,50259619.16,59
20200223,53278286.92,60
20200301,49553012.46,61
20200308,55727650.9,62
20200315,52797466.9,63
20200322,65856019.7,64
20200329,58682403.9,65
20200405,53035651.75,66
20200412,51754285.3,67
20200419,53934398.76,68
20200426,52418371.9,69
20200503,55918091.7,70
20200510,55402274.5,71
20200517,57788071.7,72
20200524,57584753.9,73
20200607,58306295,74
20200614,60361665.1,75
20200621,56348194.4,76
20200628,57465390.7,77
20200631,56014914.4,78
20200705,59176133.2,79
20200712,59217144.4,80
20200719,53692334,81
20200726,57400979.2,82
20200802,55040708.3,83
20200809,58771026.66,84
20200816,56653953.5,85
20200823,58333124.4,86
20200906,58546392.4,87
20200913,55045732.7,88
20200920,55030636.5,89
20200927,51823999.1,90
20200930,53979016.9,91
20201004,55447011,92
20201011,52860427.7,93
20201018,56802246.2,94
20201025,52121264.7,95
20201101,54725179,96
20201108,53001958.2,97
20201115,57433724.9,98
20201122,53847124.6,99
20201206,51207343.8,100
20201213,54148816.4,101
20201220,52918846.5,102
20201227,50476933.2,103
20201229,51981508.4,104
20210103,47578229.8,105
20210110,53365204,106
20210117,51332075.4,107
20210124,50593351.6,108
20210207,51174959.3,109
20210214,51179722.2,110
20210221,44368461.9,111
20210228,52640113.4,112
20210231,48928715.6,113
20210304,54257798.1,114
20210307,53767258.3,115
20210314,53848015.9,116
20210321,54387718.3,117
20210328,53000161,118
20210402,53529789.4,119
20210411,56250638.8,120
20210418,56361678.6,121
20210425,55817448.7,122
20210509,56958575.2,123
20210516,54041977.6,124
20210523,54453436.6,125
20210530,54787389.8,126
20210604,54634398.6,127
20210606,54489854.6,128
20210613,55522075.4,129
20210620,54762965.3,130
20210627,53689211.8,131
20210701,52466589.3,132
20210711,52677341,133
20210718,53136411.7,134
20210725,54783716.2,135
20210808,54213253.5,136
20210815,52499241.4,137
20210822,53123764.8,138
20210829,52574002.3,139
20210903,50627160.5,140
20210905,53900553.1,141
20210912,51109478.8,142
20210919,53370700.3,143
20210926,50952399.6,144
20211010,52027060.7,145
20211017,51723132.8,146
20211024,52267326.1,147
20211031,50843329.1,148
20211107,51969494,149
20211114,49479384.6,150
20211121,52882618.35,151
20211128,46966576,152
20211202,47516617.2,153
20211205,49787112.8,154
20211212,49119261.8,155
20211219,51775951.3,156
20211226,49520179.5,157
20220109,48204232.4,158
20220116,46883099.6,159
20220123,44448237.8,160
20220130,45399647.4,161
20220206,44755095.1,162
20220213,47520278.06,163
20220220,49425841.5,164
20220227,49067738.5,165
20220303,49428395.4,166
20220306,50277456.5,167
20220313,49503958.8,168
20220320,49029911.5,169
20220327,50278593.8,170
20220401,51871122.6,171
20220410,51119394.7,172
20220417,48253904.4,173
20220424,50143091.8,174
20220508,50829150.2,175
