YMD,Product1,Product2,Time
"Sunday, January 6, 2019",4374727,12738123,1
"Sunday, January 13, 2019",3207331,12916400,2
"Sunday, January 20, 2019",3339479,14639175,3
"Sunday, January 27, 2019",3525728,12171131,4
"Sunday, February 3, 2019",4265137,13032856,5
"Sunday, February 10, 2019",4977378,14329016,6
"Sunday, February 17, 2019",3122006,14126851,7
"Sunday, February 24, 2019",3338361,12766686,8
"Sunday, March 3, 2019",3512670,13824043,9
"Sunday, March 10, 2019",3893406,15181926,10
"Sunday, March 17, 2019",4548177,14724554,11
"Sunday, March 24, 2019",5216008,13155203,12
"Sunday, March 31, 2019",3090287,13811339,13
"Sunday, April 7, 2019",3344723,14409815,14
"Sunday, April 14, 2019",3677999,14982478,15
"Sunday, April 21, 2019",3973583,14898550,16
"Sunday, April 28, 2019",5279475,13112259,17
"Sunday, May 5, 2019",3312839,14238175,18
"Sunday, May 12, 2019",3640552,14919475,19
"Sunday, May 19, 2019",4331712,15069708,20
"Sunday, May 26, 2019",5076637,13734747,21
"Sunday, June 2, 2019",3971782,14234121,22
"Sunday, June 9, 2019",5440865,15289538,23
"Sunday, June 16, 2019",3275423,14727138,24
"Sunday, June 23, 2019",4117137,13942963,25
"Sunday, June 30, 2019",3551314,13668803,26
"Sunday, July 7, 2019",4369707,15857785,27
"Sunday, July 14, 2019",3425829,13131792,28
"Sunday, July 21, 2019",4080492,13424197,29
"Sunday, July 28, 2019",4672027,13891378,30
"Sunday, August 4, 2019",3291076,14264873,31
"Sunday, August 11, 2019",3734236,14810017,32
"Sunday, August 18, 2019",4131930,14551114,33
"Sunday, August 25, 2019",5187530,12904530,34
"Sunday, September 1, 2019",3463305,14236523,35
"Sunday, September 8, 2019",3423865,14348603,36
"Sunday, September 15, 2019",4344010,14750368,37
"Sunday, September 22, 2019",5202602,12894956,38
"Sunday, September 29, 2019",2922966,13276141,39
"Sunday, October 6, 2019",3295047,14580834,40
"Sunday, October 13, 2019",3666887,15223206.2,41
"Sunday, October 20, 2019",4220527,14632057,42
"Sunday, October 27, 2019",4507053,12491882,43
"Sunday, November 3, 2019",3068050,13366446,44
"Sunday, November 10, 2019",3412852,14084838,45
"Sunday, November 17, 2019",4149640,14182331,46
"Sunday, November 24, 2019",4679273,12563363,47
"Sunday, December 1, 2019",2933727,13260554,48
"Sunday, December 8, 2019",3334222,14266379,49
"Sunday, December 15, 2019",3763175,14273955,50
"Sunday, December 22, 2019",5646149,12266166,51
"Sunday, December 29, 2019",2987835,11686546,52
"Sunday, January 5, 2020",4003814,12613644,53
"Sunday, January 12, 2020",2775446,12942803,54
"Sunday, January 19, 2020",3406011,14166348,55
"Sunday, January 26, 2020",4128079,11843108,56
"Sunday, February 2, 2020",2774257,13026938,57
"Sunday, February 9, 2020",3123248,13512065,58
"Sunday, February 16, 2020",4090352,13797391,59
"Sunday, February 23, 2020",4719092,11994771,60
"Sunday, March 1, 2020",2850366,13157141,61
"Sunday, March 8, 2020",3204588,14699745,62
"Sunday, March 15, 2020",4191666,14658737,63
"Sunday, March 22, 2020",5879848,14965689,64
"Sunday, March 29, 2020",3320538,15238644,65
"Sunday, April 5, 2020",2861088,13746562,66
"Sunday, April 12, 2020",3346796,14511210,67
"Sunday, April 19, 2020",3659875,14213170,68
"Sunday, April 26, 2020",5412466,12728732,69
"Sunday, May 3, 2020",2826913,14314264,70
"Sunday, May 10, 2020",3186897,15419915,71
"Sunday, May 17, 2020",4281845,15126753,72
"Sunday, May 24, 2020",5001007,14165254,73
"Sunday, June 7, 2020",4238757,15920451,74
"Sunday, June 14, 2020",5248152,16133136,75
"Sunday, June 21, 2020",3283287,13960878,76
"Sunday, June 28, 2020",3083314,14563210,77
"Sunday, July 5, 2020",4125213,16004468,79
"Sunday, July 12, 2020",4627097,15781919,80
"Sunday, July 19, 2020",3119742,13400354,81
"Sunday, July 26, 2020",3324375,14116428,82
"Sunday, August 2, 2020",3441132,14671004,83
"Sunday, August 9, 2020",3697971,15462307,84
"Sunday, August 16, 2020",4485587,15359603,85
"Sunday, August 23, 2020",4872082,13316671,86
"Sunday, September 6, 2020",3180537,15248398,87
"Sunday, September 13, 2020",4355014,15069252,88
"Sunday, September 20, 2020",4840930,12671008,89
